recording_name,trial_number,subject_id,dataset_name,age_months,yoked_target,yoked_distractor,yoked_pair,exp_to_target_lang,fre_exp,eng_exp,media_name,initial_look,samples_target,samples_distractor,prop_looking,prop_looking_diff,number_fixations,correct_shift,remain_on_target,latency_to_switch,total_aoi_switches,duration_of_look,first_look_dur,longest_look_by_trial,max_pupil_baseline,max_pupil_post_onset,peak_pupil_size_difference,mean_pupil_baseline,mean_pupil_post_onset,mean_pupil_size_difference,peak_pupil_latency,age_months_centred,data_split
CompMix36_S01_88272000_F1,3,88272000,CompMix-36,46,poisson,canard,duck-fish,65,65,35,Fish_FrSingle_R.wmv,distractor,36,117,0.23529411764705882,NA,1,1,NA,670,2,600,600,600,2.775,2.92,0.14500000000000002,2.7445833333333334,2.7944444444444443,0.04986111111111091,816,21,distractor
CompMix36_S01_88272000_F1,6,88272000,CompMix-36,46,cuillere,oreille,ear-spoon,65,65,35,Spoon_FrFiller_R.wmv,distractor,42,105,0.2857142857142857,NA,1,1,NA,521,2,700,700,700,3.035,3.13,0.09499999999999975,2.9520833333333334,2.954833333333333,0.002749999999999808,1000,21,distractor
CompMix36_S01_88272000_F1,9,88272000,CompMix-36,46,mouton,singe,monkey-sheep,65,65,35,Sheep_FrSingle_L.wmv,distractor,116,14,0.8923076923076924,NA,2,1,NA,237,1,883.3333333333334,1450,1450,3.04,2.91,-0.1299999999999999,2.9770833333333333,2.7464044943820225,-0.2306788389513108,184,21,distractor
CompMix36_S01_88272000_F1,14,88272000,CompMix-36,46,grenouille,vache,cow-froggy,65,65,35,Froggy_FrSingle_R.wmv,distractor,114,45,0.71698113207547165,NA,1,1,NA,753,1,1900.0000000000002,1900.0000000000002,1900.0000000000002,2.91,3.05,0.13999999999999968,2.8625,2.9065,0.04400000000000004,816,21,distractor
CompMix36_S01_88272000_F1,15,88272000,CompMix-36,46,porte,main,door-hand,65,65,35,Door_FrFiller_R.wmv,distractor,44,74,0.3728813559322034,NA,1,1,NA,120,1,650,650,650,2.95,2.96,0.009999999999999787,2.8879166666666665,2.799943820224719,-0.08797284644194736,133,21,distractor
CompMix36_S01_88272000_F1,24,88272000,CompMix-36,46,vache,grenouille,cow-froggy,65,65,35,Cow_FrSingle_L.wmv,distractor,0,159,0,NA,NA,0,NA,NA,0,NA,NA,NA,3.045,3.125,0.08000000000000007,3.0279166666666666,3.0156666666666667,-0.012249999999999872,1132,21,distractor
CompMix36_S04_82812000_F1,1,82812000,CompMix-36,39,oreille,cuillere,ear-spoon,70,70,30,Ear_FrFiller_R.wmv,distractor,135,24,0.8490566037735849,NA,1,1,NA,404,1,2250,2250,2250,2.71,2.8600000000000003,0.15000000000000036,2.6975,2.7853333333333334,0.08783333333333365,1033,14,distractor
CompMix36_S04_82812000_F1,2,82812000,CompMix-36,39,pomme,brosse a dents,apple-toothbrush,70,70,30,Apple_FrFiller_L.wmv,distractor,135,16,0.8940397350993378,NA,2,1,NA,270,1,1125,616.6666666666667,1633.3333333333335,2.84,5.61,2.7700000000000005,2.7929166666666667,2.845764705882353,0.05284803921568626,1366,14,distractor
CompMix36_S04_82812000_F1,3,82812000,CompMix-36,39,poisson,canard,duck-fish,70,70,30,Fish_FrSingle_R.wmv,distractor,88,71,0.5534591194968553,NA,1,1,NA,287,2,1466.6666666666667,1466.6666666666667,1466.6666666666667,2.84,2.9450000000000003,0.10500000000000043,2.81,2.8881111111111113,0.07811111111111124,766,14,distractor
CompMix36_S04_82812000_F1,6,82812000,CompMix-36,39,cuillere,oreille,ear-spoon,70,70,30,Spoon_FrFiller_R.wmv,distractor,63,83,0.4315068493150685,NA,1,1,NA,237,2,1050,1050,1050,2.925,2.925,0,2.9070833333333335,2.8473888888888887,-0.059694444444444716,150,14,distractor
CompMix36_S04_82812000_F1,9,82812000,CompMix-36,39,mouton,singe,monkey-sheep,70,70,30,Sheep_FrSingle_L.wmv,distractor,116,43,0.7295597484276729,NA,1,1,NA,370,2,1933.3333333333335,1933.3333333333335,1933.3333333333335,2.99,3.19,0.19999999999999973,2.97375,3.0741111111111112,0.10036111111111135,733,14,distractor
CompMix36_S04_82812000_F1,12,82812000,CompMix-36,39,brosse a dents,pomme,apple-toothbrush,70,70,30,Toothbrush_FrFiller_L.wmv,distractor,133,14,0.9047619047619048,NA,2,1,NA,237,1,1100,1000.0000000000001,1200,2.765,3.035,0.27,2.7458333333333336,2.8767222222222224,0.13088888888888883,1532,14,distractor
CompMix36_S04_82812000_F1,14,82812000,CompMix-36,39,grenouille,vache,cow-froggy,70,70,30,Froggy_FrSingle_R.wmv,distractor,105,52,0.6687898089171974,NA,1,1,NA,571,2,1750.0000000000002,1750.0000000000002,1750.0000000000002,2.92,3.095,0.17500000000000027,2.9058333333333333,2.973611111111111,0.06777777777777771,1133,14,distractor
CompMix36_S04_82812000_F1,15,82812000,CompMix-36,39,porte,main,door-hand,70,70,30,Door_FrFiller_R.wmv,distractor,61,98,0.3836477987421384,NA,1,1,NA,571,2,1016.6666666666667,1016.6666666666667,1016.6666666666667,2.905,2.89,-0.01499999999999968,2.890833333333333,2.8235555555555556,-0.06727777777777755,233,14,distractor
