recording_name,trial_number,subject_id,dataset_name,age_months,yoked_target,yoked_distractor,yoked_pair,exp_to_target_lang,fre_exp,eng_exp,media_name,initial_look,samples_target,samples_distractor,prop_looking,prop_looking_diff,number_fixations,correct_shift,remain_on_target,latency_to_switch,total_aoi_switches,duration_of_look,first_look_dur,longest_look_by_trial,max_pupil_baseline,max_pupil_post_onset,peak_pupil_size_difference,mean_pupil_baseline,mean_pupil_post_onset,mean_pupil_size_difference,peak_pupil_latency,age_months_centred,data_split
CompMix36_S01_88272000_F1,7,88272000,CompMix-36,46,lapin,chien,bunny-dog,65,65,35,Bunny_FrMixed_L.wmv,target,159,0,1,NA,1,NA,1,NA,0,2650,2650,2650,2.8,2.895,0.0950000000000002,2.7783333333333333,2.7754444444444446,-0.0028888888888887188,249,21,target
CompMix36_S01_88272000_F1,13,88272000,CompMix-36,46,poisson,canard,duck-fish,65,65,35,Fish_FrMixed_L.wmv,target,27,131,0.17088607594936708,NA,1,NA,0,NA,1,266.6666666666667,266.6666666666667,266.6666666666667,2.775,2.8200000000000003,0.04500000000000037,2.7329166666666667,2.7288333333333332,-0.004083333333333439,1482,21,target
CompMix36_S01_88272000_F1,16,88272000,CompMix-36,46,grenouille,vache,cow-froggy,65,65,35,Froggy_FrMixed_L.wmv,target,150,0,1,NA,2,NA,1,NA,0,1250.0000000000002,2216.666666666667,2216.666666666667,3.0149999999999997,2.895,-0.11999999999999966,2.8925,2.7644444444444445,-0.1280555555555556,1099,21,target
CompMix36_S04_82812000_F1,4,82812000,CompMix-36,39,mouton,singe,monkey-sheep,70,70,30,Sheep_FrMixed_R.wmv,target,71,88,0.44654088050314467,NA,1,NA,0,NA,1,1183.3333333333335,1183.3333333333335,1183.3333333333335,3,3.12,0.1200000000000001,2.965,3.044777777777778,0.07977777777777817,1515,14,target
CompMix36_S04_82812000_F1,10,82812000,CompMix-36,39,vache,grenouille,cow-froggy,70,70,30,Cow_FrMixed_L.wmv,target,132,25,0.8407643312101911,NA,3,NA,0,NA,2,733.3333333333334,400,1300,2.96,3.0549999999999997,0.09499999999999975,2.92,2.9989444444444446,0.0789444444444447,650,14,target
CompMix36_S04_82812000_F1,11,82812000,CompMix-36,39,chien,lapin,bunny-dog,70,70,30,Dog_FrMixed_R.wmv,target,100,15,0.8695652173913043,NA,2,NA,1,NA,1,833.3333333333334,1433.3333333333335,1433.3333333333335,2.91,2.99,0.08000000000000007,2.8983333333333334,2.9138888888888888,0.015555555555555323,350,14,target
CompMix36_S04_82812000_F1,16,82812000,CompMix-36,39,grenouille,vache,cow-froggy,70,70,30,Froggy_FrMixed_L.wmv,target,137,22,0.8616352201257862,NA,2,NA,0,NA,2,1141.6666666666667,216.66666666666669,2066.666666666667,3.06,3.065,0.004999999999999893,3.03125,2.9820555555555557,-0.04919444444444432,1565,14,target
CompMix36_S21_503484000_F1,4,503484000,CompMix-36,37,mouton,singe,monkey-sheep,50,50,50,Sheep_FrMixed_R.wmv,target,112,28,0.8,NA,3,NA,0,NA,2,588.8888888888889,583.3333333333334,916.6666666666667,2.9850000000000003,3.125,0.13999999999999968,2.9270833333333335,2.9285,0.0014166666666666217,350,12,target
CompMix36_S21_503484000_F1,10,503484000,CompMix-36,37,vache,grenouille,cow-froggy,50,50,50,Cow_FrMixed_L.wmv,target,129,0,1,NA,5,NA,1,NA,0,430,750,750,2.8600000000000003,2.9000000000000004,0.040000000000000036,2.84125,2.8378089887640447,-0.0034410112359553047,1265,12,target
CompMix36_S21_503484000_F1,23,503484000,CompMix-36,37,singe,mouton,monkey-sheep,50,50,50,Monkey_FrMixed_L.wmv,target,86,23,0.7889908256880734,NA,1,NA,0,NA,1,1250,1250,1250,3.04,3.17,0.1299999999999999,2.96375,3.018314606741573,0.05456460674157304,250,12,target
