recording_name,trial_number,subject_id,dataset_name,age_months,yoked_target,yoked_distractor,yoked_pair,exp_to_target_lang,fre_exp,eng_exp,media_name,initial_look,samples_target,samples_distractor,prop_looking,prop_looking_diff,number_fixations,correct_shift,remain_on_target,latency_to_switch,total_aoi_switches,duration_of_look,first_look_dur,longest_look_by_trial,max_pupil_baseline,max_pupil_post_onset,peak_pupil_size_difference,mean_pupil_baseline,mean_pupil_post_onset,mean_pupil_size_difference,peak_pupil_latency,age_months_centred,data_split
CompMix36_S01_88272000_F1,3,88272000,CompMix-36,46,poisson,canard,duck-fish,65,65,35,Fish_FrSingle_R.wmv,distractor,36,117,0.23529411764705882,NA,1,1,NA,670,2,600,600,600,2.775,2.8449999999999998,0.06999999999999984,2.7445833333333334,2.756,0.011416666666666409,616,21,distractor
CompMix36_S01_88272000_F1,6,88272000,CompMix-36,46,cuillere,oreille,ear-spoon,65,65,35,Spoon_FrFiller_R.wmv,distractor,42,105,0.2857142857142857,NA,1,1,NA,521,2,700,700,700,3.035,3.125,0.08999999999999986,2.9520833333333334,3.0556666666666668,0.10358333333333336,250,21,distractor
CompMix36_S01_88272000_F1,9,88272000,CompMix-36,46,mouton,singe,monkey-sheep,65,65,35,Sheep_FrSingle_L.wmv,distractor,116,14,0.8923076923076924,NA,2,1,NA,237,1,883.3333333333334,1450,1450,3.04,2.91,-0.1299999999999999,2.9770833333333333,2.767333333333333,-0.2097500000000001,184,21,distractor
CompMix36_S01_88272000_F1,14,88272000,CompMix-36,46,grenouille,vache,cow-froggy,65,65,35,Froggy_FrSingle_R.wmv,distractor,114,45,0.71698113207547165,NA,1,1,NA,753,1,1900.0000000000002,1900.0000000000002,1900.0000000000002,2.91,2.9800000000000004,0.07000000000000028,2.8625,2.8735,0.01100000000000012,666,21,distractor
CompMix36_S01_88272000_F1,15,88272000,CompMix-36,46,porte,main,door-hand,65,65,35,Door_FrFiller_R.wmv,distractor,44,74,0.3728813559322034,NA,1,1,NA,120,1,650,650,650,2.95,2.96,0.009999999999999787,2.8879166666666665,2.827,-0.06091666666666651,133,21,distractor
CompMix36_S01_88272000_F1,24,88272000,CompMix-36,46,vache,grenouille,cow-froggy,65,65,35,Cow_FrSingle_L.wmv,distractor,0,159,0,NA,NA,0,NA,NA,0,NA,NA,NA,3.045,3.08,0.03500000000000014,3.0279166666666666,2.9783333333333335,-0.04958333333333309,66,21,distractor
CompMix36_S04_82812000_F1,1,82812000,CompMix-36,39,oreille,cuillere,ear-spoon,70,70,30,Ear_FrFiller_R.wmv,distractor,135,24,0.8490566037735849,NA,1,1,NA,404,1,2250,2250,2250,2.71,2.755,0.04499999999999993,2.6975,2.723333333333333,0.025833333333333375,550,14,distractor
CompMix36_S04_82812000_F1,2,82812000,CompMix-36,39,pomme,brosse a dents,apple-toothbrush,70,70,30,Apple_FrFiller_L.wmv,distractor,135,16,0.8940397350993378,NA,2,1,NA,270,1,1125,616.6666666666667,1633.3333333333335,2.84,2.8200000000000003,-0.019999999999999574,2.7929166666666667,2.795166666666667,0.0022500000000000853,67,14,distractor
CompMix36_S04_82812000_F1,3,82812000,CompMix-36,39,poisson,canard,duck-fish,70,70,30,Fish_FrSingle_R.wmv,distractor,88,71,0.5534591194968553,NA,1,1,NA,287,2,1466.6666666666667,1466.6666666666667,1466.6666666666667,2.84,2.9349999999999996,0.09499999999999975,2.81,2.8718333333333335,0.06183333333333341,633,14,distractor
CompMix36_S04_82812000_F1,6,82812000,CompMix-36,39,cuillere,oreille,ear-spoon,70,70,30,Spoon_FrFiller_R.wmv,distractor,63,83,0.4315068493150685,NA,1,1,NA,237,2,1050,1050,1050,2.925,2.925,0,2.9070833333333335,2.9076666666666666,5.833333333331581e-4,150,14,distractor
CompMix36_S04_82812000_F1,9,82812000,CompMix-36,39,mouton,singe,monkey-sheep,70,70,30,Sheep_FrSingle_L.wmv,distractor,116,43,0.7295597484276729,NA,1,1,NA,370,2,1933.3333333333335,1933.3333333333335,1933.3333333333335,2.99,3.1399999999999997,0.14999999999999947,2.97375,3.0778333333333334,0.10408333333333353,516,14,distractor
CompMix36_S04_82812000_F1,12,82812000,CompMix-36,39,brosse a dents,pomme,apple-toothbrush,70,70,30,Toothbrush_FrFiller_L.wmv,distractor,133,14,0.9047619047619048,NA,2,1,NA,237,1,1100,1000.0000000000001,1200,2.765,2.7750000000000004,0.010000000000000231,2.7458333333333336,2.7325,-0.013333333333333641,549,14,distractor
CompMix36_S04_82812000_F1,14,82812000,CompMix-36,39,grenouille,vache,cow-froggy,70,70,30,Froggy_FrSingle_R.wmv,distractor,105,52,0.6687898089171974,NA,1,1,NA,571,2,1750.0000000000002,1750.0000000000002,1750.0000000000002,2.92,2.915,-0.004999999999999893,2.9058333333333333,2.8996666666666666,-0.006166666666666654,100,14,distractor
CompMix36_S04_82812000_F1,15,82812000,CompMix-36,39,porte,main,door-hand,70,70,30,Door_FrFiller_R.wmv,distractor,61,98,0.3836477987421384,NA,1,1,NA,571,2,1016.6666666666667,1016.6666666666667,1016.6666666666667,2.905,2.89,-0.01499999999999968,2.890833333333333,2.8491666666666666,-0.04166666666666652,233,14,distractor
CompMix36_S04_82812000_F1,17,82812000,CompMix-36,39,crayon,manteau,coat-pencil,70,70,30,Pencil_FrFiller_L.wmv,distractor,142,17,0.8930817610062893,NA,1,1,NA,287,1,2366.666666666667,2366.666666666667,2366.666666666667,2.8,2.7,-0.09999999999999964,2.663333333333333,2.654166666666667,-0.009166666666666323,683,14,distractor
CompMix36_S04_82812000_F1,22,82812000,CompMix-36,39,canard,poisson,duck-fish,70,70,30,Duck_FrSingle_L.wmv,distractor,86,29,0.7478260869565218,NA,1,1,NA,486,1,1433.3333333333335,1433.3333333333335,1433.3333333333335,2.965,3.04,0.07500000000000018,2.95125,2.9943333333333335,0.043083333333333584,483,14,distractor
CompMix36_S21_503484000_F1,1,503484000,CompMix-36,37,oreille,cuillere,ear-spoon,50,50,50,Ear_FrFiller_R.wmv,distractor,132,26,0.8354430379746836,NA,1,1,NA,438,1,2200,2200,2200,2.81,2.755,-0.05500000000000016,2.783333333333333,2.7383333333333333,-0.04499999999999993,600,12,distractor
CompMix36_S21_503484000_F1,2,503484000,CompMix-36,37,pomme,brosse a dents,apple-toothbrush,50,50,50,Apple_FrFiller_L.wmv,distractor,130,11,0.9219858156028369,NA,2,1,NA,188,0,1083.3333333333335,1200,1200,2.78,2.885,0.10499999999999998,2.7408333333333332,2.819166666666667,0.07833333333333359,433,12,distractor
CompMix36_S21_503484000_F1,12,503484000,CompMix-36,37,brosse a dents,pomme,apple-toothbrush,50,50,50,Toothbrush_FrFiller_L.wmv,distractor,111,16,0.8740157480314961,NA,3,1,NA,271,1,616.6666666666667,800,800,3.11,2.9850000000000003,-0.12499999999999956,3.01375,2.8613333333333335,-0.15241666666666642,100,12,distractor
