recording_name,trial_number,subject_id,dataset_name,age_months,target_word,exp_to_target_lang,fre_exp,eng_exp,media_name,initial_look,samples_target,samples_distractor,prop_looking,prop_looking_diff,number_fixations,correct_shift,remain_on_target,latency_to_switch,total_aoi_switches,duration_of_look,first_look_dur,longest_look_by_trial,max_pupil_baseline,max_pupil_post_onset,peak_pupil_size_difference,mean_pupil_baseline,mean_pupil_post_onset,mean_pupil_size_difference,peak_pupil_latency,age_months_centred,data_split
CompMix36_S01_88272000_F1,1,88272000,CompMix-36,46,oreille,65,65,35,Ear_FrFiller_R.wmv,target,42,114,0.2692307692307692,NA,1,NA,0,NA,1,700,700,700,3.125,3.11,-0.015000000000000124,3.07625,3.0578333333333334,-0.018416666666666526,117,21,target
CompMix36_S01_88272000_F1,2,88272000,CompMix-36,46,pomme,65,65,35,Apple_FrFiller_L.wmv,target,18,114,0.13636363636363635,NA,1,NA,0,NA,1,300,300,300,2.89,2.92,0.029999999999999805,2.8366666666666664,2.8541379310344825,0.017471264367816097,66,21,target
CompMix36_S01_88272000_F1,5,88272000,CompMix-36,46,chien,65,65,35,Dog_FrSingle_L.wmv,target,123,19,0.8661971830985915,NA,2,NA,0,NA,2,1016.6666666666667,633.3333333333334,1400,2.825,2.8899999999999997,0.0649999999999995,2.8095833333333333,2.8266666666666667,0.01708333333333334,566,21,target
CompMix36_S01_88272000_F1,8,88272000,CompMix-36,46,main,65,65,35,Hand_FrFiller_R.wmv,target,80,53,0.6015037593984962,NA,2,NA,1,NA,1,666.6666666666667,700,700,2.665,2.8499999999999996,0.1849999999999996,2.6483333333333334,2.7506666666666666,0.10233333333333317,650,21,target
CompMix36_S01_88272000_F1,17,88272000,CompMix-36,46,crayon,65,65,35,Pencil_FrFiller_L.wmv,target,144,0,1,0.7610062893081762,3,NA,1,NA,0,800.0000000000001,850.0000000000001,866.6666666666667,2.765,2.835,0.06999999999999984,2.72,2.7295000000000003,0.009500000000000064,650,21,target
CompMix36_S01_88272000_F1,20,88272000,CompMix-36,46,manteau,65,65,35,Coat_FrFiller_L.wmv,target,124,23,0.8435374149659864,0.779874213836478,2,NA,1,NA,2,1033.3333333333335,1583.3333333333335,1583.3333333333335,2.935,2.825,-0.10999999999999988,2.8404166666666666,2.7555,-0.08491666666666653,533,21,target
CompMix36_S01_88272000_F1,21,88272000,CompMix-36,46,singe,65,65,35,Monkey_FrSingle_R.wmv,target,159,0,1,NA,1,NA,1,NA,0,2650,2650,2650,3.065,3.145,0.08000000000000007,2.964166666666667,3.034333333333333,0.07016666666666627,683,21,target
CompMix36_S04_82812000_F1,5,82812000,CompMix-36,39,chien,70,70,30,Dog_FrSingle_L.wmv,target,87,19,0.8207547169811321,NA,1,NA,1,NA,1,1450,1450,1450,2.785,2.995,0.20999999999999996,2.7575,2.911964285714286,0.15446428571428594,433,14,target
CompMix36_S04_82812000_F1,20,82812000,CompMix-36,39,manteau,70,70,30,Coat_FrFiller_L.wmv,target,91,48,0.6546762589928058,NA,1,NA,1,NA,1,1516.6666666666667,1516.6666666666667,1516.6666666666667,2.83,2.9,0.06999999999999984,2.8083333333333336,2.84,0.03166666666666629,616,14,target
CompMix36_S04_82812000_F1,21,82812000,CompMix-36,39,singe,70,70,30,Monkey_FrSingle_R.wmv,target,159,0,1,NA,1,NA,1,NA,0,2650,2650,2650,3.145,3.215,0.06999999999999984,3.1291666666666664,3.1151666666666666,-0.01399999999999979,666,14,target
CompMix36_S04_82812000_F1,24,82812000,CompMix-36,39,vache,70,70,30,Cow_FrSingle_L.wmv,target,133,0,1,NA,3,NA,1,NA,0,738.8888888888889,216.66666666666669,1150,3.055,3.125,0.06999999999999984,3.0258333333333334,3.0595,0.03366666666666651,667,14,target
CompMix36_S21_503484000_F1,3,503484000,CompMix-36,37,poisson,50,50,50,Fish_FrSingle_R.wmv,target,86,10,0.8958333333333334,0.37106918238993714,3,NA,0,NA,0,383.33333333333337,216.66666666666669,583.3333333333334,2.8600000000000003,2.995,0.1349999999999998,2.78375,2.9476666666666667,0.1639166666666667,150,12,target
CompMix36_S21_503484000_F1,8,503484000,CompMix-36,37,main,50,50,50,Hand_FrFiller_R.wmv,target,74,50,0.5967741935483871,NA,1,NA,1,NA,1,1050,1050,1050,3.025,3.175,0.1499999999999999,2.9583333333333335,3.1161666666666665,0.15783333333333305,183,12,target
CompMix36_S21_503484000_F1,22,503484000,CompMix-36,37,canard,50,50,50,Duck_FrSingle_L.wmv,target,65,27,0.7065217391304348,0.3459119496855346,2,NA,0,NA,2,408.33333333333337,583.3333333333334,583.3333333333334,2.8899999999999997,2.98,0.0900000000000003,2.715,2.8433333333333333,0.1283333333333334,367,12,target
CompMix36_S25_93468000_F1,2,93468000,CompMix-36,37,pomme,90,90,10,Apple_FrFiller_L.wmv,target,100,0,1,0.6289308176100629,2,NA,1,NA,0,775.0000000000001,1233.3333333333335,1233.3333333333335,3.26,3.42,0.16000000000000014,3.165,3.2203333333333335,0.055333333333333456,117,12,target
CompMix36_S25_93468000_F1,3,93468000,CompMix-36,37,poisson,90,90,10,Fish_FrSingle_R.wmv,target,94,0,1,0.5911949685534591,2,NA,1,NA,0,750,883.3333333333334,883.3333333333334,2.965,3.395,0.43000000000000016,2.944166666666667,3.1975,0.25333333333333297,500,12,target
CompMix36_S25_93468000_F1,6,93468000,CompMix-36,37,cuillere,90,90,10,Spoon_FrFiller_R.wmv,target,95,0,1,NA,2,NA,1,NA,0,766.6666666666667,750,783.3333333333334,3.0949999999999998,3.1500000000000004,0.055000000000000604,3.03625,3.095,0.0587500000000003,533,12,target
CompMix36_S25_93468000_F1,8,93468000,CompMix-36,37,main,90,90,10,Hand_FrFiller_R.wmv,target,101,31,0.7651515151515151,0.6352201257861635,3,NA,1,NA,1,561.1111111111111,600,600,3.125,3.23,0.10499999999999998,3.0829166666666667,3.1918333333333333,0.10891666666666655,333,12,target
CompMix36_S25_93468000_F1,12,93468000,CompMix-36,37,brosse a dents,90,90,10,Toothbrush_FrFiller_L.wmv,target,107,0,1,0.6729559748427673,3,NA,1,NA,0,594.4444444444445,250.00000000000003,966.6666666666667,3.3600000000000003,3.585,0.22499999999999964,3.259,3.4671666666666665,0.2081666666666666,499,12,target
CompMix36_S25_93468000_F1,15,93468000,CompMix-36,37,porte,90,90,10,Door_FrFiller_R.wmv,target,118,0,1,0.5471698113207546,3,NA,1,NA,0,655.5555555555555,1400,1400,3.17,3.13,-0.040000000000000036,3.11625,3.095666666666667,-0.020583333333333176,666,12,target
